Year,Units,Region,Durchschnittspreise,Preisindex,Value
2012,Durchschnittspreise,Enzkreis,Bauland [€/m²],,161.1
2013,Durchschnittspreise,Enzkreis,Bauland [€/m²],,155.62
2014,Durchschnittspreise,Enzkreis,Bauland [€/m²],,163.13
2015,Durchschnittspreise,Enzkreis,Bauland [€/m²],,171.9
2016,Durchschnittspreise,Enzkreis,Bauland [€/m²],,167.08
2017,Durchschnittspreise,Enzkreis,Bauland [€/m²],,170.34
2018,Durchschnittspreise,Enzkreis,Bauland [€/m²],,153.96
2019,Durchschnittspreise,Enzkreis,Bauland [€/m²],,206.98
2020,Durchschnittspreise,Enzkreis,Bauland [€/m²],,215.95
2021,Durchschnittspreise,Enzkreis,Bauland [€/m²],,243.34
2012,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,183.79
2013,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,184.08
2014,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,184.33
2015,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,190.35
2016,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,182.38
2017,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,193.01
2018,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,205.54
2019,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,227.44
2020,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,245.3
2021,Durchschnittspreise,Enzkreis,Baureifes Land [€/m²],,309.44
2012,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,4860
2013,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,4834
2014,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,5136
2015,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,5453
2016,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,5105
2017,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,4152
2018,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,4309
2019,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,4594
2020,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,4478
2021,Fläche - Baureifes Land [1.000 m²],Enzkreis,,,3451
2012,Index,Deutschland,,Preisindex für Bauland (Bund),82.8
2013,Index,Deutschland,,Preisindex für Bauland (Bund),87.9
2014,Index,Deutschland,,Preisindex für Bauland (Bund),93.4
2015,Index,Deutschland,,Preisindex für Bauland (Bund),100
2016,Index,Deutschland,,Preisindex für Bauland (Bund),110
2017,Index,Deutschland,,Preisindex für Bauland (Bund),122.7
2018,Index,Deutschland,,Preisindex für Bauland (Bund),134.5
2019,Index,Deutschland,,Preisindex für Bauland (Bund),146.1
2020,Index,Deutschland,,Preisindex für Bauland (Bund),156.1
2021,Index,Deutschland,,Preisindex für Bauland (Bund),187.5
,,,,,
,,,,,
,,,,,
