Year,Region,Wohngebäude,Value
2016,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,58.9
2017,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,69.9
2018,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.7
2019,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.7
2020,Enzkreis,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.6
2016,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,56.1
2017,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,62.3
2018,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,66.1
2019,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,68.6
2020,Land BW,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,69.7
,,,
