Year,Units,Region,Schadensart,Value
2011,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,454.4
2012,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,444.06
2013,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,453.29
2014,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,504.32
2015,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,409.56
2016,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,420.79
2017,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,418.41
2018,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,441.92
2019,Straßenverkehrsunfälle,Enzkreis,Unfälle gesamt,417.43
2011,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,496.31
2012,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,487.89
2013,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,481.24
2014,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,479.53
2015,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,473.37
2016,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,473.87
2017,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,470.8
2018,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,463.14
2019,Straßenverkehrsunfälle,Land BW,Unfälle gesamt,452.49
2011,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,442.39
2012,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,410.22
2013,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,403.5
2014,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,480.57
2015,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,402.93
2016,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,408.63
2017,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,406.31
2018,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,393.66
2019,Straßenverkehrsunfälle,Enzkreis,Verunglückte bei Unfällen,400.89
2011,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,454.59
2012,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,445.52
2013,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,433.59
2014,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,447.1
2015,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,446.87
2016,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,442.92
2017,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,440.04
2018,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,438.46
2019,Straßenverkehrsunfälle,Land BW,Verunglückte bei Unfällen,425.57
2011,Getötete,Enzkreis,,3.7
2012,Getötete,Enzkreis,,3.1
2013,Getötete,Enzkreis,,2.6
2014,Getötete,Enzkreis,,7.2
2015,Getötete,Enzkreis,,3.1
2016,Getötete,Enzkreis,,3.6
2017,Getötete,Enzkreis,,3.5
2018,Getötete,Enzkreis,,4.0
2019,Getötete,Enzkreis,,4.0
2011,Getötete,Land BW,,4.59
2012,Getötete,Land BW,,4.46
2013,Getötete,Land BW,,4.37
2014,Getötete,Land BW,,4.35
2015,Getötete,Land BW,,4.44
2016,Getötete,Land BW,,3.7
2017,Getötete,Land BW,,3.67
2018,Getötete,Land BW,,3.97
2019,Getötete,Land BW,,3.94
,,,,
