Year,Units,Region,Abfallart,Value
2010,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],588
2011,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],592
2012,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],603
2013,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],587
2014,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],591
2015,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],590
2016,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],645
2017,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],634
2018,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],659
2019,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],610
2020,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],616
2021,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],601
2010,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],475
2011,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],497
2012,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],492
2013,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],486
2014,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],501
2015,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],492
2016,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],494
2017,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],490
2018,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],485
2019,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],487
2020,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],495
2021,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],496
2010,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll,
