Year,Recyclingpapier,Value
2007,Recyclingpapier in der Kreisverwaltung,5
2008,Recyclingpapier in der Kreisverwaltung,5
2009,Recyclingpapier in der Kreisverwaltung,5
2010,Recyclingpapier in der Kreisverwaltung,5
2011,Recyclingpapier in der Kreisverwaltung,5
2012,Recyclingpapier in der Kreisverwaltung,5
2013,Recyclingpapier in der Kreisverwaltung,5
2014,Recyclingpapier in der Kreisverwaltung,5
2015,Recyclingpapier in der Kreisverwaltung,5
2016,Recyclingpapier in der Kreisverwaltung,5
2017,Recyclingpapier in der Kreisverwaltung,5
2018,Recyclingpapier in der Kreisverwaltung,5
2019,Recyclingpapier in der Kreisverwaltung,5
2020,Recyclingpapier in der Kreisverwaltung,5
2021,Recyclingpapier in der Kreisverwaltung,73.29
2022,Recyclingpapier in der Kreisverwaltung,97.57
,,
