Year,Region,Landschaftsqualität,Value
2009,Enzkreis,Hemerobie-Index,3.91
2012,Enzkreis,Hemerobie-Index,4.02
2015,Enzkreis,Hemerobie-Index,4.02
2018,Enzkreis,Hemerobie-Index,"4,04"
2009,Stadt PF,Hemerobie-Index,3.92
2012,Stadt PF,Hemerobie-Index,3.97
2015,Stadt PF,Hemerobie-Index,3.98
2018,Stadt PF,Hemerobie-Index,3.98
2009,Land BW,Hemerobie-Index,3.90
2012,Land BW,Hemerobie-Index,4.11
2015,Land BW,Hemerobie-Index,4.14
2018,Land BW,Hemerobie-Index,4.15
2009,Deutschland,Hemerobie-Index,4.10
2012,Deutschland,Hemerobie-Index,4.10
2015,Deutschland,Hemerobie-Index,4.20
2018,Deutschland,Hemerobie-Index,4.15
,,,
