Year,Aufwendungen.Verschuldung,Value
2012,Ordentliche Aufwendungen,154919
2013,Ordentliche Aufwendungen,166725
2014,Ordentliche Aufwendungen,177426
2015,Ordentliche Aufwendungen,186350
2016,Ordentliche Aufwendungen,218622
2017,Ordentliche Aufwendungen,218609
2018,Ordentliche Aufwendungen,229988
2019,Ordentliche Aufwendungen,234352
2020,Ordentliche Aufwendungen,245917
2021,Ordentliche Aufwendungen,259837
2012,Verschuldung im Kernhaushalt,27690
2013,Verschuldung im Kernhaushalt,31087
2014,Verschuldung im Kernhaushalt,27941
2015,Verschuldung im Kernhaushalt,31191
2016,Verschuldung im Kernhaushalt,38983
2017,Verschuldung im Kernhaushalt,34113
2018,Verschuldung im Kernhaushalt,29263
2019,Verschuldung im Kernhaushalt,27209
2020,Verschuldung im Kernhaushalt,21877
2021,Verschuldung im Kernhaushalt,17907
