Year,Units,gruppe.beschaeftigt,Value
2011,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,2
2012,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,3
2013,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,4
2014,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,3
2015,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,5
2016,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,3
2017,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,4
2018,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,5
2019,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,11
2020,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,11
2021,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,13
2022,Anzahl Projekte,Anzahl entwicklungspolitischer Projekte,13
2011,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.10
2012,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.16
2013,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.21
2014,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.15
2015,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.26
2016,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.15
2017,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.20
2018,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.25
2019,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.55
2020,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.55
2021,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.65
2022,Projekte je 10 tsd. Einwohner,Entwicklungspolitische Projekte (je 10 tsd. EW),0.65
