Year,Units,Region,gruppe.betreuung,Value

2013,Anteil in %,Enzkreis,bis 25 h in Betreuung,19.7
2014,Anteil in %,Enzkreis,bis 25 h in Betreuung,17.8
2015,Anteil in %,Enzkreis,bis 25 h in Betreuung,16.0	
2016,Anteil in %,Enzkreis,bis 25 h in Betreuung,13.4	
2017,Anteil in %,Enzkreis,bis 25 h in Betreuung,13.5	
2018,Anteil in %,Enzkreis,bis 25 h in Betreuung,12.5
2019,Anteil in %,Enzkreis,bis 25 h in Betreuung,11.3
2020,Anteil in %,Enzkreis,bis 25 h in Betreuung,11.6

2013,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,64.9
2014,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,68	
2015,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,69.7	
2016,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,70.5
2017,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,71	
2018,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,70.6	
2019,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,71.1
2020,Anteil in %,Enzkreis,25 bis 35 h in Betreuung,74

2013,Anteil in %,Enzkreis,mehr als 35 h Betreuung,15.4
2014,Anteil in %,Enzkreis,mehr als 35 h Betreuung,14.2
2015,Anteil in %,Enzkreis,mehr als 35 h Betreuung,14.3	
2016,Anteil in %,Enzkreis,mehr als 35 h Betreuung,16.1	
2017,Anteil in %,Enzkreis,mehr als 35 h Betreuung,15.5
2018,Anteil in %,Enzkreis,mehr als 35 h Betreuung,16.9	
2019,Anteil in %,Enzkreis,mehr als 35 h Betreuung,17.6
2020,Anteil in %,Enzkreis,mehr als 35 h Betreuung,14.4
