Year,Units,Beschäftigung.Enzkreis,Value
2007,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31057
2008,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31659
2009,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),29856
2010,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),29574
2011,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31035
2012,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31844
2013,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),32052
2014,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),32727
2015,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),33304
2016,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),34464
2017,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),35573
2018,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),36660
2019,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),37451
2020,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),37266
2021,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),37023
2007,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21007
2008,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21611
2009,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21047
2010,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21020
2011,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21841
2012,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),22245
2013,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),22654
2014,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),23169
2015,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),23943
2016,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),24573
2017,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),25272
2018,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26038
2019,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26599
2020,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26516
2021,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26421
2007,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),946
2008,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),955
2009,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),816
2010,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),992
2011,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1435
2012,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1488
2013,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1485
2014,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1627
