Year,Units,Landratsamt,Value
2010,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5047196
2011,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5203267
2012,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5550254
2013,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5480620
2014,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5174411
2015,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),4996817
2016,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5057217
2017,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5336747
2018,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5686839
2019,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),5800651
2020,Endenergieverbrauch [kWh],Liegenschaften Landratsamt (witterungsbereinigt),6073451
2010,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2011,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2012,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2013,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2014,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2015,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),
2016,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),61
2017,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),56
2018,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),61
2019,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),63
2020,Anteil erneuerbarer Energien [%],Anteil erneuerbarer Energien (Liegenschaften Landratsamt),57
