Year,Region,Units,Value

2010,Enzkreis,Innovationsindex,24.6
2012,Enzkreis,Innovationsindex,24.6
2014,Enzkreis,Innovationsindex,25.6
2016,Enzkreis,Innovationsindex,23.4
2018,Enzkreis,Innovationsindex,25.4
2020,Enzkreis,Innovationsindex,24.0

2010,Enzkreis,Rang in Baden-Württemberg (von 44),25
2012,Enzkreis,Rang in Baden-Württemberg (von 44),25
2014,Enzkreis,Rang in Baden-Württemberg (von 44),25
2016,Enzkreis,Rang in Baden-Württemberg (von 44),25
2018,Enzkreis,Rang in Baden-Württemberg (von 44),25
2020,Enzkreis,Rang in Baden-Württemberg (von 44),25
