Year,Region,gruppe.beschaeftigt,Value
2015,Enzkreis,Breitbandversorgung (>50 Mbit/s),64
2016,Enzkreis,Breitbandversorgung (>50 Mbit/s),71
2017,Enzkreis,Breitbandversorgung (>50 Mbit/s),74
2018,Enzkreis,Breitbandversorgung (>50 Mbit/s),84
2019,Enzkreis,Breitbandversorgung (>50 Mbit/s),87.8
2015,Stadt Pforzheim,Breitbandversorgung (>50 Mbit/s),89
2016,Stadt Pforzheim,Breitbandversorgung (>50 Mbit/s),96.8
2017,Stadt Pforzheim,Breitbandversorgung (>50 Mbit/s),96.9
2018,Stadt Pforzheim,Breitbandversorgung (>50 Mbit/s),97.4
2019,Stadt Pforzheim,Breitbandversorgung (>50 Mbit/s),98
2015,Land BW,Breitbandversorgung (>50 Mbit/s),71.6
2016,Land BW,Breitbandversorgung (>50 Mbit/s),77.3
2017,Land BW,Breitbandversorgung (>50 Mbit/s),81.3
2018,Land BW,Breitbandversorgung (>50 Mbit/s),87
2019,Land BW,Breitbandversorgung (>50 Mbit/s),90
,,,
