Year,Region,gruppe.beschaeftigt,Value
2010,Enzkreis,Stromverbrauch,904392
2011,Enzkreis,Stromverbrauch,970500
2012,Enzkreis,Stromverbrauch,1052636
2013,Enzkreis,Stromverbrauch,1078616
2014,Enzkreis,Stromverbrauch,1029681
2015,Enzkreis,Stromverbrauch,935321
2016,Enzkreis,Stromverbrauch,915471
2017,Enzkreis,Stromverbrauch,889881
2018,Enzkreis,Stromverbrauch,895705
2019,Enzkreis,Stromverbrauch,820714
2020,Enzkreis,Stromverbrauch,759441
2010,Enzkreis,Heizenergie,465000
2011,Enzkreis,Heizenergie,405000
2012,Enzkreis,Heizenergie,478000
2013,Enzkreis,Heizenergie,526000
2014,Enzkreis,Heizenergie,374000
2015,Enzkreis,Heizenergie,424000
2016,Enzkreis,Heizenergie,482000
2017,Enzkreis,Heizenergie,528000
2018,Enzkreis,Heizenergie,487000
2019,Enzkreis,Heizenergie,497000
2020,Enzkreis,Heizenergie,543578
2010,Enzkreis,Wasserverbrauch,9774
2011,Enzkreis,Wasserverbrauch,10695
2012,Enzkreis,Wasserverbrauch,10531
2013,Enzkreis,Wasserverbrauch,11404
2014,Enzkreis,Wasserverbrauch,11721
2015,Enzkreis,Wasserverbrauch,12793
2016,Enzkreis,Wasserverbrauch,11238
2017,Enzkreis,Wasserverbrauch,10511
2018,Enzkreis,Wasserverbrauch,12041
2019,Enzkreis,Wasserverbrauch,12920
2020,Enzkreis,Wasserverbrauch,11514
2010,Enzkreis,Straßenmeisterei,331618
2011,Enzkreis,Straßenmeisterei,330000
2012,Enzkreis,Straßenmeisterei,330000
2013,Enzkreis,Straßenmeisterei,330000
2014,Enzkreis,Straßenmeisterei,330000
2015,Enzkreis,Straßenmeisterei,330000
2010,Enzkreis,Stromverbrauch,1569
2011,Enzkreis,Stromverbrauch,1462
2012,Enzkreis,Stromverbrauch,1475
2013,Enzkreis,Stromverbrauch,1538
2014,Enzkreis,Stromverbrauch,1276
2015,Enzkreis,Stromverbrauch,1299
2016,Enzkreis,Stromverbrauch,1289
2017,Enzkreis,Stromverbrauch,1316
2018,Enzkreis,Stromverbrauch,1201
2019,Enzkreis,Stromverbrauch,1206
2020,Enzkreis,Stromverbrauch,1264
2010,Enzkreis,Heizenergie,465000
2011,Enzkreis,Heizenergie,405000
2012,Enzkreis,Heizenergie,478000
2013,Enzkreis,Heizenergie,526000
2014,Enzkreis,Heizenergie,374000
2017,Land BW,Beschäftigungsquote 55 - 64-Jährige,0
2018,Land BW,Beschäftigungsquote 55 - 64-Jährige,0
2019,Land BW,Beschäftigungsquote 55 - 64-Jährige,0
2020,Land BW,Beschäftigungsquote 55 - 64-Jährige,0
2021,Land BW,Beschäftigungsquote 55 - 64-Jährige,0
