Year,Region,gruppe.beschaeftigt,Value
2008.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],91.0
2010.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],90.0
2013.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],89.0
2015.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],89.0
2016.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],85.0
2017.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],86.0
2018.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],83.0
2019.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],82.0
2020.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],81.0
2021.0,Enzkreis,Konventionell bewirtschaftete Fläche [%],81.0
2008.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],9.0
2010.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],10.0
2013.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],11.0
2015.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],11.0
2016.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],15.0
2017.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],14.0
2018.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],17.0
2019.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],18.0
2020.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],19.0
2021.0,Enzkreis,Ökologisch bewirtschaftete Fläche [%],19.0
2008.0,Land BW,Ökologisch bewirtschaftete Fläche [%],7.0
2010.0,Land BW,Ökologisch bewirtschaftete Fläche [%],7.0
2013.0,Land BW,Ökologisch bewirtschaftete Fläche [%],8.0
2015.0,Land BW,Ökologisch bewirtschaftete Fläche [%],8.0
2016.0,Land BW,Ökologisch bewirtschaftete Fläche [%],11.0
2017.0,Land BW,Ökologisch bewirtschaftete Fläche [%],11.0
2018.0,Land BW,Ökologisch bewirtschaftete Fläche [%],12.0
2019.0,Land BW,Ökologisch bewirtschaftete Fläche [%],14.0
2020.0,Land BW,Ökologisch bewirtschaftete Fläche [%],13.0
2021.0,Land BW,Ökologisch bewirtschaftete Fläche [%],13.0
2008.0,Land BW,Konventionell bewirtschaftete Fläche [%],93.0
2010.0,Land BW,Konventionell bewirtschaftete Fläche [%],93.0
2013.0,Land BW,Konventionell bewirtschaftete Fläche [%],92.0
2015.0,Land BW,Konventionell bewirtschaftete Fläche [%],92.0
2016.0,Land BW,Konventionell bewirtschaftete Fläche [%],89.0
2017.0,Land BW,Konventionell bewirtschaftete Fläche [%],89.0
2018.0,Land BW,Konventionell bewirtschaftete Fläche [%],88.0
2019.0,Land BW,Konventionell bewirtschaftete Fläche [%],86.0
2020.0,Land BW,Konventionell bewirtschaftete Fläche [%],87.0
2021.0,Land BW,Konventionell bewirtschaftete Fläche [%],87.0
,,,
