Year,Region,Geschlecht,Alter,Value
2007,Enzkreis,Männer,,63
2008,Enzkreis,Männer,,49
2009,Enzkreis,Männer,,51
2010,Enzkreis,Männer,,58
2011,Enzkreis,Männer,,52
2012,Enzkreis,Männer,,85
2013,Enzkreis,Männer,,86
2014,Enzkreis,Männer,,72
2015,Enzkreis,Männer,,87
2016,Enzkreis,Männer,,80
2017,Enzkreis,Männer,,70
2018,Enzkreis,Männer,,80
2019,Enzkreis,Männer,,92
2020,Enzkreis,Männer,,82
2021,Enzkreis,Männer,,106
2007,Enzkreis,Frauen,,68
2008,Enzkreis,Frauen,,54
2009,Enzkreis,Frauen,,55
2010,Enzkreis,Frauen,,68
2011,Enzkreis,Frauen,,67
2012,Enzkreis,Frauen,,87
2013,Enzkreis,Frauen,,83
2014,Enzkreis,Frauen,,91
2015,Enzkreis,Frauen,,98
2016,Enzkreis,Frauen,,99
2017,Enzkreis,Frauen,,95
2018,Enzkreis,Frauen,,81
2019,Enzkreis,Frauen,,89
2020,Enzkreis,Frauen,,83
2021,Enzkreis,Frauen,,100
2007,Enzkreis,,Unter 18-Jährige,8
2008,Enzkreis,,Unter 18-Jährige,8
2009,Enzkreis,,Unter 18-Jährige,7
2010,Enzkreis,,Unter 18-Jährige,12
2011,Enzkreis,,Unter 18-Jährige,15
2012,Enzkreis,,Unter 18-Jährige,8
2013,Enzkreis,,Unter 18-Jährige,24
2014,Enzkreis,,Unter 18-Jährige,14
2015,Enzkreis,,Unter 18-Jährige,27
2016,Enzkreis,,Unter 18-Jährige,18
2017,Enzkreis,,Unter 18-Jährige,8
2018,Enzkreis,,Unter 18-Jährige,5
2019,Enzkreis,,Unter 18-Jährige,21
2020,Enzkreis,,Unter 18-Jährige,17
2021,Enzkreis,,Unter 18-Jährige,19
2007,Enzkreis,,18- bis unter 30-Jährige,46
2008,Enzkreis,,18- bis unter 30-Jährige,42
2009,Enzkreis,,18- bis unter 30-Jährige,42
2010,Enzkreis,,18- bis unter 30-Jährige,50
2011,Enzkreis,,18- bis unter 30-Jährige,51
2012,Enzkreis,,18- bis unter 30-Jährige,83
2013,Enzkreis,,18- bis unter 30-Jährige,61
2014,Enzkreis,,18- bis unter 30-Jährige,60
2015,Enzkreis,,18- bis unter 30-Jährige,61
2016,Enzkreis,,18- bis unter 30-Jährige,56
2017,Enzkreis,,18- bis unter 30-Jährige,50
2018,Enzkreis,,18- bis unter 30-Jährige,54
2019,Enzkreis,,18- bis unter 30-Jährige,72
2020,Enzkreis,,18- bis unter 30-Jährige,72
2021,Enzkreis,,18- bis unter 30-Jährige,65
2007,Enzkreis,,30- bis unter 50-Jährige,68
2008,Enzkreis,,30- bis unter 50-Jährige,46
2009,Enzkreis,,30- bis unter 50-Jährige,53
2010,Enzkreis,,30- bis unter 50-Jährige,58
2011,Enzkreis,,30- bis unter 50-Jährige,47
2012,Enzkreis,,30- bis unter 50-Jährige,65
2013,Enzkreis,,30- bis unter 50-Jährige,75
2014,Enzkreis,,30- bis unter 50-Jährige,77
2015,Enzkreis,,30- bis unter 50-Jährige,76
2016,Enzkreis,,30- bis unter 50-Jährige,83
2017,Enzkreis,,30- bis unter 50-Jährige,76
2018,Enzkreis,,30- bis unter 50-Jährige,77
2019,Enzkreis,,30- bis unter 50-Jährige,72
2020,Enzkreis,,30- bis unter 50-Jährige,62
2021,Enzkreis,,30- bis unter 50-Jährige,99
2007,Enzkreis,,50-Jährige und älter,9
2008,Enzkreis,,50-Jährige und älter,7
2009,Enzkreis,,50-Jährige und älter,4
2010,Enzkreis,,50-Jährige und älter,6
2011,Enzkreis,,50-Jährige und älter,6
2012,Enzkreis,,50-Jährige und älter,16
2013,Enzkreis,,50-Jährige und älter,9
2014,Enzkreis,,50-Jährige und älter,12
2015,Enzkreis,,50-Jährige und älter,21
2016,Enzkreis,,50-Jährige und älter,22
2017,Enzkreis,,50-Jährige und älter,31
2018,Enzkreis,,50-Jährige und älter,25
2019,Enzkreis,,50-Jährige und älter,16
2020,Enzkreis,,50-Jährige und älter,14
2021,Enzkreis,,50-Jährige und älter,23
