Year,Units,Region,Value
2009.0,Einwohner pro Wohnung,Enzkreis,2.21
2010.0,Einwohner pro Wohnung,Enzkreis,2.19
2011.0,Einwohner pro Wohnung,Enzkreis,2.15
2012.0,Einwohner pro Wohnung,Enzkreis,2.15
2013.0,Einwohner pro Wohnung,Enzkreis,2.15
2014.0,Einwohner pro Wohnung,Enzkreis,2.15
2015.0,Einwohner pro Wohnung,Enzkreis,2.16
2016.0,Einwohner pro Wohnung,Enzkreis,2.16
2017.0,Einwohner pro Wohnung,Enzkreis,2.16
2018.0,Einwohner pro Wohnung,Enzkreis,2.16
2019.0,Einwohner pro Wohnung,Enzkreis,2.15
2020.0,Einwohner pro Wohnung,Enzkreis,2.14
2009.0,Einwohner pro Wohnung,Land BW,2.16
2010.0,Einwohner pro Wohnung,Land BW,2.13
2011.0,Einwohner pro Wohnung,Land BW,2.08
2012.0,Einwohner pro Wohnung,Land BW,2.07
2013.0,Einwohner pro Wohnung,Land BW,2.08
2014.0,Einwohner pro Wohnung,Land BW,2.08
2015.0,Einwohner pro Wohnung,Land BW,2.1
2016.0,Einwohner pro Wohnung,Land BW,2.1
2017.0,Einwohner pro Wohnung,Land BW,2.09
2018.0,Einwohner pro Wohnung,Land BW,2.09
2019.0,Einwohner pro Wohnung,Land BW,2.08
2020.0,Einwohner pro Wohnung,Land BW,2.07
2009.0,Wohnfläche pro Person [m²],Enzkreis,43.8
2010.0,Wohnfläche pro Person [m²],Enzkreis,44.2
2011.0,Wohnfläche pro Person [m²],Enzkreis,46.7
2012.0,Wohnfläche pro Person [m²],Enzkreis,46.8
2013.0,Wohnfläche pro Person [m²],Enzkreis,46.9
2014.0,Wohnfläche pro Person [m²],Enzkreis,47.2
2015.0,Wohnfläche pro Person [m²],Enzkreis,46.9
2016.0,Wohnfläche pro Person [m²],Enzkreis,46.9
2017.0,Wohnfläche pro Person [m²],Enzkreis,46.9
2018.0,Wohnfläche pro Person [m²],Enzkreis,47.1
2019.0,Wohnfläche pro Person [m²],Enzkreis,47.2
2020.0,Wohnfläche pro Person [m²],Enzkreis,47.5
2009.0,Wohnfläche pro Person [m²],Land BW,41.7
2010.0,Wohnfläche pro Person [m²],Land BW,42.0
2011.0,Wohnfläche pro Person [m²],Land BW,43.9
2012.0,Wohnfläche pro Person [m²],Land BW,44.0
2013.0,Wohnfläche pro Person [m²],Land BW,44.1
2014.0,Wohnfläche pro Person [m²],Land BW,44.4
2015.0,Wohnfläche pro Person [m²],Land BW,43.8
2016.0,Wohnfläche pro Person [m²],Land BW,43.8
2017.0,Wohnfläche pro Person [m²],Land BW,43.9
2018.0,Wohnfläche pro Person [m²],Land BW,44.1
2019.0,Wohnfläche pro Person [m²],Land BW,44.3
2020.0,Wohnfläche pro Person [m²],Land BW,44.6
,,,
