Year,Region,gruppe.beschaeftigt,Value
2015.0,Enzkreis,Siedlungs- und Verkehrsfläche,9267.0
2016.0,Enzkreis,Siedlungs- und Verkehrsfläche,9292.0
2017.0,Enzkreis,Siedlungs- und Verkehrsfläche,9336.0
2018.0,Enzkreis,Siedlungs- und Verkehrsfläche,9378.0
2019.0,Enzkreis,Siedlungs- und Verkehrsfläche,9417.0
2020.0,Enzkreis,Siedlungs- und Verkehrsfläche,9437.0
2021.0,Enzkreis,Siedlungs- und Verkehrsfläche,9470.0
2015.0,Enzkreis,Landwirtschaft,25309.0
2016.0,Enzkreis,Landwirtschaft,25284.0
2017.0,Enzkreis,Landwirtschaft,25231.0
2018.0,Enzkreis,Landwirtschaft,25196.0
2019.0,Enzkreis,Landwirtschaft,25131.0
2020.0,Enzkreis,Landwirtschaft,25119.0
2021.0,Enzkreis,Landwirtschaft,25086.0
2015.0,Enzkreis,Gewässer,327.0
2016.0,Enzkreis,Gewässer,327.0
2017.0,Enzkreis,Gewässer,328.0
2018.0,Enzkreis,Gewässer,328.0
2019.0,Enzkreis,Gewässer,338.0
2020.0,Enzkreis,Gewässer,339.0
2021.0,Enzkreis,Gewässer,340.0
2015.0,Enzkreis,"Berg-/Tagebau, Grube, Steinbruch",86.0
2016.0,Enzkreis,"Berg-/Tagebau, Grube, Steinbruch",86.0
2017.0,Enzkreis,"Berg-/Tagebau, Grube, Steinbruch",86.0
2018.0,Enzkreis,"Berg-/Tagebau, Grube, Steinbruch",86.0
2019.0,Enzkreis,"Berg-/Tagebau, Grube, Steinbruch",85.0
2020.0,Enzkreis,"Berg-/Tagebau, Grube, Steinbruch",92.0
2021.0,Enzkreis,"Berg-/Tagebau, Grube, Steinbruch",90.0
2015.0,Enzkreis,Wald,21827.0
2016.0,Enzkreis,Wald,21818.0
2017.0,Enzkreis,Wald,21826.0
2018.0,Enzkreis,Wald,21820.0
2019.0,Enzkreis,Wald,21833.0
2020.0,Enzkreis,Wald,21817.0
2021.0,Enzkreis,Wald,21818.0
2015.0,Enzkreis,Siedlung,5880.0
2016.0,Enzkreis,Siedlung,5902.0
2017.0,Enzkreis,Siedlung,5942.0
2018.0,Enzkreis,Siedlung,5982.0
2019.0,Enzkreis,Siedlung,5995.0
2020.0,Enzkreis,Siedlung,6019.0
2021.0,Enzkreis,Siedlung,6050.0
2015.0,Enzkreis,Verkehr,3473.0
2016.0,Enzkreis,Verkehr,3475.0
2017.0,Enzkreis,Verkehr,3480.0
2018.0,Enzkreis,Verkehr,3482.0
2019.0,Enzkreis,Verkehr,3507.0
2020.0,Enzkreis,Verkehr,3510.0
2021.0,Enzkreis,Verkehr,3510.0
,,,
