Year,Sektor,Gesamt,Value
2014,Industrie und Handel,1703,
2015,Industrie und Handel,1732,
2016,Industrie und Handel,1712,
2017,Industrie und Handel,1749,
2018,Industrie und Handel,1830,
2019,Industrie und Handel,1840,
2020,Industrie und Handel,1706,
2014,Handwerk,,679.0
2015,Handwerk,,666.0
2016,Handwerk,,678.0
2017,Handwerk,,640.0
2018,Handwerk,,653.0
2019,Handwerk,,667.0
2020,Handwerk,,676.0
2014,Landwirtschaft,,34.0
2015,Landwirtschaft,,40.0
2016,Landwirtschaft,,35.0
2017,Landwirtschaft,,36.0
2018,Landwirtschaft,,43.0
2019,Landwirtschaft,,44.0
2020,Landwirtschaft,,50.0
2014,Öffentlicher Dienst,,50.0
2015,Öffentlicher Dienst,,43.0
2016,Öffentlicher Dienst,,49.0
2017,Öffentlicher Dienst,,50.0
2018,Öffentlicher Dienst,,55.0
2019,Öffentlicher Dienst,,55.0
2020,Öffentlicher Dienst,,53.0
2014,Freie Berufe,,128.0
2015,Freie Berufe,,130.0
2016,Freie Berufe,,137.0
2017,Freie Berufe,,149.0
2018,Freie Berufe,,155.0
2019,Freie Berufe,,143.0
2020,Freie Berufe,,146.0
2014,Hauswirtschaft,,5.0
2015,Hauswirtschaft,,6.0
2016,Hauswirtschaft,,6.0
2017,Hauswirtschaft,,3.0
2018,Hauswirtschaft,,2.0
2019,Hauswirtschaft,,5.0
2020,Hauswirtschaft,,6.0
2014,,Gesamt,2599.0
2015,,Gesamt,2617.0
2016,,Gesamt,2617.0
2017,,Gesamt,2627.0
2018,,Gesamt,2738.0
2019,,Gesamt,2754.0
2020,,Gesamt,2637.0
