Year,Value,Units
2012.0,10849000.0,Beförderungsfälle Regionalverkehr
2013.0,11529000.0,Beförderungsfälle Regionalverkehr
2014.0,11476000.0,Beförderungsfälle Regionalverkehr
2015.0,11522000.0,Beförderungsfälle Regionalverkehr
2016.0,11605000.0,Beförderungsfälle Regionalverkehr
2017.0,11617000.0,Beförderungsfälle Regionalverkehr
2018.0,11629000.0,Beförderungsfälle Regionalverkehr
2019.0,11640000.0,Beförderungsfälle Regionalverkehr
2020.0,10193000.0,Beförderungsfälle Regionalverkehr
2021.0,10196000.0,Beförderungsfälle Regionalverkehr
2022.0,,Beförderungsfälle Regionalverkehr
2012.0,7189000.0,Fahrplan-km/Jahr
2013.0,7189000.0,Fahrplan-km/Jahr
2014.0,7376000.0,Fahrplan-km/Jahr
2015.0,7376000.0,Fahrplan-km/Jahr
2016.0,7469000.0,Fahrplan-km/Jahr
2017.0,7469000.0,Fahrplan-km/Jahr
2018.0,7566000.0,Fahrplan-km/Jahr
2019.0,8073000.0,Fahrplan-km/Jahr
2020.0,8073000.0,Fahrplan-km/Jahr
2021.0,8132000.0,Fahrplan-km/Jahr
2022.0,8642000.0,Fahrplan-km/Jahr
,,
