Year,Region,gruppe.beschaeftigt,Value
2011.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),0.8
2012.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),0.9
2013.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.0
2014.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2015.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.2
2016.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2017.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2018.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2019.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.0
2020.0,Enzkreis,Grundsicherung im Alter (SGB XII-Quote),1.1
2011.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.1
2012.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.1
2013.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.3
2014.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.3
2015.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.5
2016.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2017.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2018.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2019.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
2020.0,Land BW,Grundsicherung im Alter (SGB XII-Quote),2.4
,,,
