Year,Units,Region,Fahrzeugart,Value
2008.0,Kfz-Zulassungen Enzkreis,,Krafträder,11966.0
2009.0,Kfz-Zulassungen Enzkreis,,Krafträder,12267.0
2010.0,Kfz-Zulassungen Enzkreis,,Krafträder,12606.0
2011.0,Kfz-Zulassungen Enzkreis,,Krafträder,12855.0
2012.0,Kfz-Zulassungen Enzkreis,,Krafträder,13152.0
2013.0,Kfz-Zulassungen Enzkreis,,Krafträder,13452.0
2014.0,Kfz-Zulassungen Enzkreis,,Krafträder,13764.0
2015.0,Kfz-Zulassungen Enzkreis,,Krafträder,14000.0
2016.0,Kfz-Zulassungen Enzkreis,,Krafträder,14250.0
2017.0,Kfz-Zulassungen Enzkreis,,Krafträder,14475.0
2018.0,Kfz-Zulassungen Enzkreis,,Krafträder,14735.0
2019.0,Kfz-Zulassungen Enzkreis,,Krafträder,14861.0
2020.0,Kfz-Zulassungen Enzkreis,,Krafträder,15144.0
2021.0,Kfz-Zulassungen Enzkreis,,Krafträder,15724.0
2008.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,110080.0
2009.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,110398.0
2010.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,111482.0
2011.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,113339.0
2012.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,115340.0
2013.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,116839.0
2014.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,118543.0
2015.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,120582.0
2016.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,122957.0
2017.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,125673.0
2018.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,127963.0
2019.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,130447.0
2020.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,132323.0
2021.0,Kfz-Zulassungen Enzkreis,,Personenkraftwagen,134056.0
2008.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,103.0
2009.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,105.0
2010.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,112.0
2011.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,115.0
2012.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,113.0
2013.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,112.0
2014.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,107.0
2015.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,113.0
2016.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,106.0
2017.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,121.0
2018.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,129.0
2019.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,137.0
2020.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,144.0
2021.0,Kfz-Zulassungen Enzkreis,,Kraftomnibusse,128.0
2008.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,4841.0
2009.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,4933.0
2010.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,4865.0
2011.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,4980.0
2012.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,5252.0
2013.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,5380.0
2014.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,5457.0
2015.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,5633.0
2016.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,5838.0
2017.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,6123.0
2018.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,6311.0
2019.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,6567.0
2020.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,6779.0
2021.0,Kfz-Zulassungen Enzkreis,,Lastkraftwagen,7120.0
2008.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,5795.0
2009.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,5798.0
2010.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,5867.0
2011.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,5929.0
2012.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6021.0
2013.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6004.0
2014.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,5974.0
2015.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,5983.0
2016.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6051.0
2017.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6158.0
2018.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6283.0
2019.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6383.0
2020.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6425.0
2021.0,Kfz-Zulassungen Enzkreis,,Zugmaschinen,6497.0
2008.0,Kfz je 1.000 Einwohner,Land BW,,634.0
2009.0,Kfz je 1.000 Einwohner,Land BW,,638.0
2010.0,Kfz je 1.000 Einwohner,Land BW,,646.0
2011.0,Kfz je 1.000 Einwohner,Land BW,,655.0
2012.0,Kfz je 1.000 Einwohner,Land BW,,682.0
2013.0,Kfz je 1.000 Einwohner,Land BW,,690.0
