Year,Units,Region,Wassergewinnung und -konsum,Value
2007.0,Gewinnung und Abgabe,,Gewinnung Grund- und Quellwasser,7461.0
2010.0,Gewinnung und Abgabe,,Gewinnung Grund- und Quellwasser,6862.0
2013.0,Gewinnung und Abgabe,,Gewinnung Grund- und Quellwasser,6256.0
2016.0,Gewinnung und Abgabe,,Gewinnung Grund- und Quellwasser,6659.0
2019.0,Gewinnung und Abgabe,,Gewinnung Grund- und Quellwasser,7178.0
2007.0,Gewinnung und Abgabe,,Wasserabgabe an Letztverbraucher (gesamt),9402.0
2010.0,Gewinnung und Abgabe,,Wasserabgabe an Letztverbraucher (gesamt),9231.0
2013.0,Gewinnung und Abgabe,,Wasserabgabe an Letztverbraucher (gesamt),9154.0
2016.0,Gewinnung und Abgabe,,Wasserabgabe an Letztverbraucher (gesamt),9533.0
2019.0,Gewinnung und Abgabe,,Wasserabgabe an Letztverbraucher (gesamt),9971.0
2007.0,Gewinnung und Abgabe,,Wasserabgabe an Haushalte,7618.0
2010.0,Gewinnung und Abgabe,,Wasserabgabe an Haushalte,7559.0
2013.0,Gewinnung und Abgabe,,Wasserabgabe an Haushalte,7487.0
2016.0,Gewinnung und Abgabe,,Wasserabgabe an Haushalte,7976.0
2019.0,Gewinnung und Abgabe,,Wasserabgabe an Haushalte,8756.0
2007.0,Täglicher Verbrauch pro Kopf [l],Enzkreis,,106.8
2010.0,Täglicher Verbrauch pro Kopf [l],Enzkreis,,106.8
2013.0,Täglicher Verbrauch pro Kopf [l],Enzkreis,,106.4
2016.0,Täglicher Verbrauch pro Kopf [l],Enzkreis,,110.5
2019.0,Täglicher Verbrauch pro Kopf [l],Enzkreis,,136.4
2007.0,Täglicher Verbrauch pro Kopf [l],Land BW,,115.9
2010.0,Täglicher Verbrauch pro Kopf [l],Land BW,,114.8
2013.0,Täglicher Verbrauch pro Kopf [l],Land BW,,115.6
2016.0,Täglicher Verbrauch pro Kopf [l],Land BW,,118.1
2019.0,Täglicher Verbrauch pro Kopf [l],Land BW,,149.3
,,,,
,,,,
