Year,Unit,Region,Abfallart,Value
2010.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],588.0
2011.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],592.0
2012.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],603.0
2013.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],587.0
2014.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],591.0
2015.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],590.0
2016.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],645.0
2017.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],634.0
2018.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],659.0
2019.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],610.0
2020.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],616.0
2021.0,Kommunales Abfallaufkommen (gesamt),Enzkreis,Abfallaufkommen [kg/EW],601.0
2010.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],475.0
2011.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],497.0
2012.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],492.0
2013.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],486.0
2014.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],501.0
2015.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],492.0
2016.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],494.0
2017.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],490.0
2018.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],485.0
2019.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],487.0
2020.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],495.0
2021.0,Kommunales Abfallaufkommen (gesamt),Land BW,Abfallaufkommen [kg/EW],496.0
2010.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll,
2011.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,
2012.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,
2013.0,Aufkommen je Abfallstrom [kg/EW],,Haus- und Sperrmüll ,
