Year,Recyclingpapier,Value
2007.0,Recyclingpapier in der Kreisverwaltung,5.0
2008.0,Recyclingpapier in der Kreisverwaltung,5.0
2009.0,Recyclingpapier in der Kreisverwaltung,5.0
2010.0,Recyclingpapier in der Kreisverwaltung,5.0
2011.0,Recyclingpapier in der Kreisverwaltung,5.0
2012.0,Recyclingpapier in der Kreisverwaltung,5.0
2013.0,Recyclingpapier in der Kreisverwaltung,5.0
2014.0,Recyclingpapier in der Kreisverwaltung,5.0
2015.0,Recyclingpapier in der Kreisverwaltung,5.0
2016.0,Recyclingpapier in der Kreisverwaltung,5.0
2017.0,Recyclingpapier in der Kreisverwaltung,5.0
2018.0,Recyclingpapier in der Kreisverwaltung,5.0
2019.0,Recyclingpapier in der Kreisverwaltung,5.0
2020.0,Recyclingpapier in der Kreisverwaltung,5.0
2021.0,Recyclingpapier in der Kreisverwaltung,73.29
2022.0,Recyclingpapier in der Kreisverwaltung,97.57
,,
