Year,Region,Landschaftsqualität,Value
2009.0,Enzkreis,Hemerobie-Index,3.91
2012.0,Enzkreis,Hemerobie-Index,4.02
2015.0,Enzkreis,Hemerobie-Index,4.02
2018.0,Enzkreis,Hemerobie-Index,4.04
2009.0,Stadt PF,Hemerobie-Index,3.92
2012.0,Stadt PF,Hemerobie-Index,3.97
2015.0,Stadt PF,Hemerobie-Index,3.98
2018.0,Stadt PF,Hemerobie-Index,3.98
2009.0,Land BW,Hemerobie-Index,3.9
2012.0,Land BW,Hemerobie-Index,4.11
2015.0,Land BW,Hemerobie-Index,4.14
2018.0,Land BW,Hemerobie-Index,4.15
2009.0,Deutschland,Hemerobie-Index,4.1
2012.0,Deutschland,Hemerobie-Index,4.1
2015.0,Deutschland,Hemerobie-Index,4.2
2018.0,Deutschland,Hemerobie-Index,4.15
,,,
