Year,Region,gruppe.beschaeftigt,Value
2022.0,Enzkreis,Wasser- und Quellschutzgebiete,6101.0
2022.0,Enzkreis,Naturpark,5902.0
2022.0,Enzkreis,Erholungswald Stufe 2,4651.0
2022.0,Enzkreis,Landschaftsschutzgebiet,3587.0
2022.0,Enzkreis,Bodenschutz,1022.0
2022.0,Enzkreis,Immissionsschutz,742.0
2022.0,Enzkreis,Naturschutzgebiet,340.0
2022.0,Enzkreis,Waldrefugien,313.0
2022.0,Enzkreis,Klimaschutz,191.0
2022.0,Enzkreis,Schonwald,68.0
2022.0,Enzkreis,Sichtschutz,30.0
2022.0,Enzkreis,Naturdenkmal,3.0
2022.0,Enzkreis,Bannwald,3.0
,,,
