Year,Region,gruppe.betreuung,Value
2013,Enzkreis,bis 25 h in Betreuung,19.7
2014,Enzkreis,bis 25 h in Betreuung,17.8
2015,Enzkreis,bis 25 h in Betreuung,16.0
2016,Enzkreis,bis 25 h in Betreuung,13.4
2017,Enzkreis,bis 25 h in Betreuung,13.5
2018,Enzkreis,bis 25 h in Betreuung,12.5
2019,Enzkreis,bis 25 h in Betreuung,11.3
2020,Enzkreis,bis 25 h in Betreuung,11.6
2013,Enzkreis,25 bis 35 h in Betreuung,64.9
2014,Enzkreis,25 bis 35 h in Betreuung,68.0
2015,Enzkreis,25 bis 35 h in Betreuung,69.7
2016,Enzkreis,25 bis 35 h in Betreuung,70.5
2017,Enzkreis,25 bis 35 h in Betreuung,71.0
2018,Enzkreis,25 bis 35 h in Betreuung,70.6
2019,Enzkreis,25 bis 35 h in Betreuung,71.1
2020,Enzkreis,25 bis 35 h in Betreuung,74.0
2013,Enzkreis,mehr als 35 h Betreuung,15.4
2014,Enzkreis,mehr als 35 h Betreuung,14.2
2015,Enzkreis,mehr als 35 h Betreuung,14.3
2016,Enzkreis,mehr als 35 h Betreuung,16.1
2017,Enzkreis,mehr als 35 h Betreuung,15.5
2018,Enzkreis,mehr als 35 h Betreuung,16.9
2019,Enzkreis,mehr als 35 h Betreuung,17.6
2020,Enzkreis,mehr als 35 h Betreuung,14.4
