Year,Region,Hochqualifizierte,Value
2007.0,Enzkreis,Hochqualifizierte (am Arbeitsort),7.1
2008.0,Enzkreis,Hochqualifizierte (am Arbeitsort),7.3
2009.0,Enzkreis,Hochqualifizierte (am Arbeitsort),8.3
2010.0,Enzkreis,Hochqualifizierte (am Arbeitsort),8.0
2011.0,Enzkreis,Hochqualifizierte (am Arbeitsort),8.3
2012.0,Enzkreis,Hochqualifizierte (am Arbeitsort),7.3
2013.0,Enzkreis,Hochqualifizierte (am Arbeitsort),7.3
2014.0,Enzkreis,Hochqualifizierte (am Arbeitsort),8.1
2015.0,Enzkreis,Hochqualifizierte (am Arbeitsort),8.6
2016.0,Enzkreis,Hochqualifizierte (am Arbeitsort),9.1
2017.0,Enzkreis,Hochqualifizierte (am Arbeitsort),9.5
2018.0,Enzkreis,Hochqualifizierte (am Arbeitsort),9.8
2019.0,Enzkreis,Hochqualifizierte (am Arbeitsort),10.3
2020.0,Enzkreis,Hochqualifizierte (am Arbeitsort),10.7
2007.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),9.6
2008.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),10.2
2009.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),10.9
2010.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),11.3
2011.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),11.6
2012.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),10.9
2013.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),10.7
2014.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),11.7
2015.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),12.2
2016.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),12.9
2017.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),13.4
2018.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),13.8
2019.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),14.3
2020.0,Stadt Pforzheim,Hochqualifizierte (am Arbeitsort),15.0
2007.0,Land BW,Hochqualifizierte (am Arbeitsort),13.0
2008.0,Land BW,Hochqualifizierte (am Arbeitsort),15.5
2009.0,Land BW,Hochqualifizierte (am Arbeitsort),15.0
2010.0,Land BW,Hochqualifizierte (am Arbeitsort),14.5
2011.0,Land BW,Hochqualifizierte (am Arbeitsort),15.0
2012.0,Land BW,Hochqualifizierte (am Arbeitsort),13.3
2013.0,Land BW,Hochqualifizierte (am Arbeitsort),13.3
2014.0,Land BW,Hochqualifizierte (am Arbeitsort),14.6
2015.0,Land BW,Hochqualifizierte (am Arbeitsort),15.3
2016.0,Land BW,Hochqualifizierte (am Arbeitsort),16.1
2017.0,Land BW,Hochqualifizierte (am Arbeitsort),16.7
2018.0,Land BW,Hochqualifizierte (am Arbeitsort),17.4
2019.0,Land BW,Hochqualifizierte (am Arbeitsort),18.1
2020.0,Land BW,Hochqualifizierte (am Arbeitsort),18.8
,,,
