Year,Units,Nutzungsarten,Siedlungs- und Verkehrsfläche,Value
2015.0,Flächeninanspruchnahme,Siedlungs- und Verkehrsfläche,,9267.0
2016.0,Flächeninanspruchnahme,Siedlungs- und Verkehrsfläche,,9292.0
2017.0,Flächeninanspruchnahme,Siedlungs- und Verkehrsfläche,,9336.0
2018.0,Flächeninanspruchnahme,Siedlungs- und Verkehrsfläche,,9378.0
2019.0,Flächeninanspruchnahme,Siedlungs- und Verkehrsfläche,,9417.0
2020.0,Flächeninanspruchnahme,Siedlungs- und Verkehrsfläche,,9437.0
2021.0,Flächeninanspruchnahme,Siedlungs- und Verkehrsfläche,,9470.0
2015.0,Flächeninanspruchnahme,Landwirtschaft,,25309.0
2016.0,Flächeninanspruchnahme,Landwirtschaft,,25284.0
2017.0,Flächeninanspruchnahme,Landwirtschaft,,25231.0
2018.0,Flächeninanspruchnahme,Landwirtschaft,,25196.0
2019.0,Flächeninanspruchnahme,Landwirtschaft,,25131.0
2020.0,Flächeninanspruchnahme,Landwirtschaft,,25119.0
2021.0,Flächeninanspruchnahme,Landwirtschaft,,25086.0
2015.0,Flächeninanspruchnahme,Gewässer,,327.0
2016.0,Flächeninanspruchnahme,Gewässer,,327.0
2017.0,Flächeninanspruchnahme,Gewässer,,328.0
2018.0,Flächeninanspruchnahme,Gewässer,,328.0
2019.0,Flächeninanspruchnahme,Gewässer,,338.0
2020.0,Flächeninanspruchnahme,Gewässer,,339.0
2021.0,Flächeninanspruchnahme,Gewässer,,340.0
2015.0,Flächeninanspruchnahme,"Berg-/Tagebau, Grube, Steinbruch",,86.0
2016.0,Flächeninanspruchnahme,"Berg-/Tagebau, Grube, Steinbruch",,86.0
2017.0,Flächeninanspruchnahme,"Berg-/Tagebau, Grube, Steinbruch",,86.0
2018.0,Flächeninanspruchnahme,"Berg-/Tagebau, Grube, Steinbruch",,86.0
2019.0,Flächeninanspruchnahme,"Berg-/Tagebau, Grube, Steinbruch",,85.0
2020.0,Flächeninanspruchnahme,"Berg-/Tagebau, Grube, Steinbruch",,92.0
2021.0,Flächeninanspruchnahme,"Berg-/Tagebau, Grube, Steinbruch",,90.0
2015.0,Flächeninanspruchnahme,Wald,,21827.0
2016.0,Flächeninanspruchnahme,Wald,,21818.0
2017.0,Flächeninanspruchnahme,Wald,,21826.0
2018.0,Flächeninanspruchnahme,Wald,,21820.0
2019.0,Flächeninanspruchnahme,Wald,,21833.0
2020.0,Flächeninanspruchnahme,Wald,,21817.0
2021.0,Flächeninanspruchnahme,Wald,,21818.0
2015.0,Flächenversiegelung,,Siedlungsfläche Enzkreis,5880.0
2016.0,Flächenversiegelung,,Siedlungsfläche Enzkreis,5902.0
2017.0,Flächenversiegelung,,Siedlungsfläche Enzkreis,5942.0
2018.0,Flächenversiegelung,,Siedlungsfläche Enzkreis,5982.0
2019.0,Flächenversiegelung,,Siedlungsfläche Enzkreis,5995.0
2020.0,Flächenversiegelung,,Siedlungsfläche Enzkreis,6019.0
2021.0,Flächenversiegelung,,Siedlungsfläche Enzkreis,6050.0
2015.0,Flächenversiegelung,,Verkehrsfläche Enzkreis,3473.0
2016.0,Flächenversiegelung,,Verkehrsfläche Enzkreis,3475.0
2017.0,Flächenversiegelung,,Verkehrsfläche Enzkreis,3480.0
2018.0,Flächenversiegelung,,Verkehrsfläche Enzkreis,3482.0
2019.0,Flächenversiegelung,,Verkehrsfläche Enzkreis,3507.0
2020.0,Flächenversiegelung,,Verkehrsfläche Enzkreis,3510.0
2021.0,Flächenversiegelung,,Verkehrsfläche Enzkreis,3510.0
,,,,
