Year,Units,Value
2012.0,Beförderungsfälle Regionalverkehr,10849000.0
2013.0,Beförderungsfälle Regionalverkehr,11529000.0
2014.0,Beförderungsfälle Regionalverkehr,11476000.0
2015.0,Beförderungsfälle Regionalverkehr,11522000.0
2016.0,Beförderungsfälle Regionalverkehr,11605000.0
2017.0,Beförderungsfälle Regionalverkehr,11617000.0
2018.0,Beförderungsfälle Regionalverkehr,11629000.0
2019.0,Beförderungsfälle Regionalverkehr,11640000.0
2020.0,Beförderungsfälle Regionalverkehr,10193000.0
2021.0,Beförderungsfälle Regionalverkehr,10196000.0
2022.0,Beförderungsfälle Regionalverkehr,
2012.0,Fahrplan-km/Jahr,7189000.0
2013.0,Fahrplan-km/Jahr,7189000.0
2014.0,Fahrplan-km/Jahr,7376000.0
2015.0,Fahrplan-km/Jahr,7376000.0
2016.0,Fahrplan-km/Jahr,7469000.0
2017.0,Fahrplan-km/Jahr,7469000.0
2018.0,Fahrplan-km/Jahr,7566000.0
2019.0,Fahrplan-km/Jahr,8073000.0
2020.0,Fahrplan-km/Jahr,8073000.0
2021.0,Fahrplan-km/Jahr,8132000.0
2022.0,Fahrplan-km/Jahr,8642000.0
,,
