Year,WIN-Charta Baden-Württemberg,Value
2014.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2015.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2016.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2017.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2018.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2019.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2020.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2021.0,Unterstützer der WIN-Charta im Enzkreis,1.0
2022.0,Unterstützer der WIN-Charta im Enzkreis,1.0
,,
