Year,Region,gruppe.beschaeftigt,Value
2010.0,Enzkreis,Stromverbrauch,904392.0
2011.0,Enzkreis,Stromverbrauch,970500.0
2012.0,Enzkreis,Stromverbrauch,1052636.0
2013.0,Enzkreis,Stromverbrauch,1078616.0
2014.0,Enzkreis,Stromverbrauch,1029681.0
2015.0,Enzkreis,Stromverbrauch,935321.0
2016.0,Enzkreis,Stromverbrauch,915471.0
2017.0,Enzkreis,Stromverbrauch,889881.0
2018.0,Enzkreis,Stromverbrauch,895705.0
2019.0,Enzkreis,Stromverbrauch,820714.0
2020.0,Enzkreis,Stromverbrauch,759441.0
2010.0,Enzkreis,Heizenergie,465000.0
2011.0,Enzkreis,Heizenergie,405000.0
2012.0,Enzkreis,Heizenergie,478000.0
2013.0,Enzkreis,Heizenergie,526000.0
2014.0,Enzkreis,Heizenergie,374000.0
2015.0,Enzkreis,Heizenergie,424000.0
2016.0,Enzkreis,Heizenergie,482000.0
2017.0,Enzkreis,Heizenergie,528000.0
2018.0,Enzkreis,Heizenergie,487000.0
2019.0,Enzkreis,Heizenergie,497000.0
2020.0,Enzkreis,Heizenergie,543578.0
2010.0,Enzkreis,Wasserverbrauch,9774.0
2011.0,Enzkreis,Wasserverbrauch,10695.0
2012.0,Enzkreis,Wasserverbrauch,10531.0
2013.0,Enzkreis,Wasserverbrauch,11404.0
2014.0,Enzkreis,Wasserverbrauch,11721.0
2015.0,Enzkreis,Wasserverbrauch,12793.0
2016.0,Enzkreis,Wasserverbrauch,11238.0
2017.0,Enzkreis,Wasserverbrauch,10511.0
2018.0,Enzkreis,Wasserverbrauch,12041.0
2019.0,Enzkreis,Wasserverbrauch,12920.0
2020.0,Enzkreis,Wasserverbrauch,11514.0
2010.0,Enzkreis,Straßenmeisterei,331618.0
2011.0,Enzkreis,Straßenmeisterei,330000.0
2012.0,Enzkreis,Straßenmeisterei,330000.0
2013.0,Enzkreis,Straßenmeisterei,330000.0
2014.0,Enzkreis,Straßenmeisterei,330000.0
2015.0,Enzkreis,Straßenmeisterei,330000.0
2016.0,Enzkreis,Straßenmeisterei,1569.0
2017.0,Enzkreis,Straßenmeisterei,1462.0
2018.0,Enzkreis,Straßenmeisterei,1475.0
2019.0,Enzkreis,Straßenmeisterei,1538.0
2020.0,Enzkreis,Straßenmeisterei,1276.0
2010.0,Enzkreis,Fuhrpark,1299.0
2011.0,Enzkreis,Fuhrpark,1289.0
2012.0,Enzkreis,Fuhrpark,1316.0
2013.0,Enzkreis,Fuhrpark,1201.0
2014.0,Enzkreis,Fuhrpark,1206.0
2015.0,Enzkreis,Fuhrpark,1264.0
2016.0,Enzkreis,Fuhrpark,465000.0
2017.0,Enzkreis,Fuhrpark,405000.0
2018.0,Enzkreis,Fuhrpark,478000.0
2019.0,Enzkreis,Fuhrpark,526000.0
2020.0,Enzkreis,Fuhrpark,374000.0
,,,
