Year,Value,Units
2012.0,4860.0,Fläche - Baureifes Land [1.000 m²]
2013.0,4834.0,Fläche - Baureifes Land [1.000 m²]
2014.0,5136.0,Fläche - Baureifes Land [1.000 m²]
2015.0,5453.0,Fläche - Baureifes Land [1.000 m²]
2016.0,5105.0,Fläche - Baureifes Land [1.000 m²]
2017.0,4152.0,Fläche - Baureifes Land [1.000 m²]
2018.0,4309.0,Fläche - Baureifes Land [1.000 m²]
2019.0,4594.0,Fläche - Baureifes Land [1.000 m²]
2020.0,4478.0,Fläche - Baureifes Land [1.000 m²]
2021.0,3451.0,Fläche - Baureifes Land [1.000 m²]
2012.0,82.8,Preisindex für Bauland (Deutschland)
2013.0,87.9,Preisindex für Bauland (Deutschland)
2014.0,93.4,Preisindex für Bauland (Deutschland)
2015.0,100.0,Preisindex für Bauland (Deutschland)
2016.0,110.0,Preisindex für Bauland (Deutschland)
2017.0,122.7,Preisindex für Bauland (Deutschland)
2018.0,134.5,Preisindex für Bauland (Deutschland)
2019.0,146.1,Preisindex für Bauland (Deutschland)
2020.0,156.1,Preisindex für Bauland (Deutschland)
2021.0,187.5,Preisindex für Bauland (Deutschland)
,,
,,
,,
