Year,Value,Units
2007.0,106.8,Täglicher Verbrauch pro Kopf [l] - Enzkreis
2010.0,106.8,Täglicher Verbrauch pro Kopf [l] - Enzkreis
2013.0,106.4,Täglicher Verbrauch pro Kopf [l] - Enzkreis
2016.0,110.5,Täglicher Verbrauch pro Kopf [l] - Enzkreis
2019.0,136.4,Täglicher Verbrauch pro Kopf [l] - Enzkreis
2007.0,115.9,Täglicher Verbrauch pro Kopf [l] - Land BW
2010.0,114.8,Täglicher Verbrauch pro Kopf [l] - Land BW
2013.0,115.6,Täglicher Verbrauch pro Kopf [l] - Land BW
2016.0,118.1,Täglicher Verbrauch pro Kopf [l] - Land BW
2019.0,149.3,Täglicher Verbrauch pro Kopf [l] - Land BW
,,
